date,high,low,open,close,volume,adjclose,formatted_date
1514764800,13921.5302734375,12877.669921875,13850.490234375,13444.8798828125,1057521524,13444.8798828125,2018-01-01
1514851200,15306.1298828125,12934.16015625,13444.8798828125,14754.1298828125,1956783037,14754.1298828125,2018-01-02
1514937600,15435.009765625,14579.7099609375,14754.08984375,15156.6201171875,1604206990,15156.6201171875,2018-01-03
1515024000,15408.66015625,14244.669921875,15156.490234375,15180.080078125,1656714736,15180.080078125,2018-01-04
1515110400,17126.94921875,14832.3603515625,15180.080078125,16954.779296875,2283988962,16954.779296875,2018-01-05
1515196800,17252.849609375,16286.5703125,16954.759765625,17172.30078125,1412703790,17172.30078125,2018-01-06
1515283200,17184.810546875,15791.1298828125,17174.5,16228.16015625,1309532650,16228.16015625,2018-01-07
1515369600,16302.919921875,13902.3095703125,16228.259765625,14976.169921875,2166366561,14976.169921875,2018-01-08
1515456000,15390.2802734375,14221.5498046875,14976.169921875,14468.5,1486802326,14468.5,2018-01-09
1515542400,14919.490234375,13450.5400390625,14468.08984375,14919.490234375,2025083791,14919.490234375,2018-01-10
1515628800,14979.9599609375,12825.9501953125,14920.3603515625,13308.0595703125,2373494121,13308.0595703125,2018-01-11
1515715200,14129.080078125,12851.91015625,13308.0595703125,13841.1904296875,1402292716,13841.1904296875,2018-01-12
1515801600,14595.0400390625,13830.2802734375,13841.1904296875,14243.1201171875,1021352776,14243.1201171875,2018-01-13
1515888000,14415.669921875,13031.91015625,14244.1201171875,13638.6298828125,1112590573,13638.6298828125,2018-01-14
1515974400,14355.8203125,13416.7099609375,13638.6298828125,13631.98046875,1170462750,13631.98046875,2018-01-15
1516060800,13648.83984375,10032.6904296875,13634.599609375,11282.490234375,3842651741,11282.490234375,2018-01-16
1516147200,11736.2998046875,9205.3798828125,11282.490234375,11162.7001953125,3666978316,11162.7001953125,2018-01-17
1516233600,12018.4296875,10642.330078125,11162.7001953125,11175.51953125,2357251805,11175.51953125,2018-01-18
1516320000,11780.490234375,10867.1796875,11175.51953125,11521.759765625,1264875700,11521.759765625,2018-01-19
1516406400,13031.0400390625,11502.1103515625,11521.8203125,12783.9404296875,1492721765,12783.9404296875,2018-01-20
1516492800,12787.349609375,11101.73046875,12783.5400390625,11549.9296875,1552755289,11549.9296875,2018-01-21
1516579200,11913.740234375,10067.759765625,11549.98046875,10814.51953125,1811992345,10814.51953125,2018-01-22
1516665600,11388.51953125,9980.5,10814.51953125,10858.23046875,1710180828,10858.23046875,2018-01-23
1516752000,11531.599609375,10506.5498046875,10853.7802734375,11429.01953125,1286435482,11429.01953125,2018-01-24
1516838400,11741.919921875,10930.33984375,11428.1103515625,11175.8701171875,1061064251,11175.8701171875,2018-01-25
1516924800,11656.5400390625,10346.8603515625,11175.8701171875,11104.2001953125,1560135332,11104.2001953125,2018-01-26
1517011200,11638.6904296875,10879.2001953125,11104.33984375,11459.7099609375,1031091633,11459.7099609375,2018-01-27
1517097600,12064.1904296875,11407.9404296875,11460.3896484375,11767.740234375,1038153169,11767.740234375,2018-01-28
1517184000,11860.2900390625,11089.51953125,11767.740234375,11233.9501953125,920836244,11233.9501953125,2018-01-29
1517270400,11263.7001953125,9871.2099609375,11234.3203125,10107.259765625,1720894077,10107.259765625,2018-01-30
1517356800,10377.9599609375,9698.1298828125,10107.400390625,10226.8603515625,1230902973,10226.8603515625,2018-01-31
1517443200,10280.83984375,8726.9501953125,10226.8603515625,9114.7197265625,1964308989,9114.7197265625,2018-02-01
1517529600,9147.9296875,7786.2001953125,9114.73046875,8870.8203125,2768759876,8870.8203125,2018-02-02
1517616000,9504.3701171875,8194.6796875,8872.8701171875,9251.26953125,1253484523,9251.26953125,2018-02-03
1517702400,9400.990234375,7889.830078125,9251.26953125,8218.0498046875,1413207410,8218.0498046875,2018-02-04
1517788800,8391.2900390625,6627.31005859375,8218.0498046875,6937.080078125,2534149181,6937.080078125,2018-02-05
1517875200,7932.3798828125,5968.35986328125,6936.43017578125,7701.25,3397596513,7701.25,2018-02-06
1517961600,8572.6796875,7208.85986328125,7701.25,7592.72021484375,2159765331,7592.72021484375,2018-02-07
1518048000,8643.9404296875,7590.47998046875,7593.77978515625,8260.6904296875,1594673973,8260.6904296875,2018-02-08
1518134400,8743.2001953125,7775.35986328125,8259.259765625,8696.830078125,1348072086,8696.830078125,2018-02-09
1518220800,9081.490234375,8176.25,8696.830078125,8569.2900390625,1348923336,8569.2900390625,2018-02-10
1518307200,8573.349609375,7862.31005859375,8569.3203125,8084.60986328125,1013771945,8084.60986328125,2018-02-11
1518393600,8997.33984375,8084.41015625,8084.60986328125,8911.26953125,1085921871,8911.26953125,2018-02-12
1518480000,8955.150390625,8379.349609375,8911.169921875,8544.6904296875,853320352,8544.6904296875,2018-02-13
1518566400,9508.2197265625,8542.98046875,8544.6904296875,9485.6396484375,1220863360,9485.6396484375,2018-02-14
1518652800,10223.580078125,9363.3798828125,9485.6396484375,10033.75,1666668487,10033.75,2018-02-15
1518739200,10303.1396484375,9720.3798828125,10033.75,10188.73046875,1061827697,10188.73046875,2018-02-16
1518825600,11119.4501953125,10074.0703125,10188.73046875,11097.2099609375,1327921168,11097.2099609375,2018-02-17
